GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9SUI4	PSAL	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003757|InterPro:IPR036592	3702	InterPro		P
UniProtKB	Q9SUI4	PSAL	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI5	PSAK	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000549|InterPro:IPR023618|InterPro:IPR035982	3702	InterPro		P
UniProtKB	Q9SUI5	PSAK	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI6	PSAH2	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004928	3702	InterPro		P
UniProtKB	Q9SUI6	PSAH2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI7	PSAH1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004928	3702	InterPro		P
UniProtKB	Q9SUI7	PSAH1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SVV6	TPK3	NOT|acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:31053658		3702	UniProt		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF14	3702	TreeGrafter		P
